dom ; request ; size ; historical ; collinearity
273.0 ; 3.0 ; 83.3984375 ; 85.36 ; 60.89
20.0 ; 2.0 ; 58.0068359375 ; 96.11 ; 64.49
1594.0 ; 39.0 ; 1192.181640625 ; 41.67 ; 52.74
2220.0 ; 122.0 ; 4889.265625 ; 14.82 ; 54.77
869.0 ; 78.0 ; 547.923828125 ; 46.52 ; 45.53
1093.0 ; 112.0 ; 231.3095703125 ; 37.52 ; 63.26
787.0 ; 131.0 ; 2181.125 ; 33.02 ; 66.77
4180.0 ; 823.0 ; 4864.208984375 ; 5.94 ; 53.38
1234.0 ; 174.0 ; 773.0654296875 ; 26.58 ; 49.43
2577.0 ; 247.0 ; 11008.3505859375 ; 5.73 ; 70.17
44.0 ; 5.0 ; 167.669921875 ; 93.84 ; 63.80
96.0 ; 13.0 ; 56.21875 ; 90.15 ; 61.53
2220.0 ; 122.0 ; 4888.9892578125 ; 14.82 ; 54.77
1110.0 ; 152.0 ; 210.2880859375 ; 32.97 ; 70.96
1580.0 ; 482.0 ; 7025.0576171875 ; 9.34 ; 67.36
689.0 ; 55.0 ; 3161.046875 ; 47.64 ; 70.17
664.0 ; 32.0 ; 122.861328125 ; 65.02 ; 61.33
1519.0 ; 324.0 ; 4407.265625 ; 11.04 ; 66.96
2212.0 ; 549.0 ; 1903.0166015625 ; 11.61 ; 40.69
321.0 ; 11.0 ; 817.3037109375 ; 78.54 ; 62.17
2221.0 ; 122.0 ; 4879.4580078125 ; 14.83 ; 54.77
6634.0 ; 256.0 ; 31497.390625 ; 5.44 ; 69.33
526.0 ; 39.0 ; 1073.28125 ; 63.71 ; 53.78
1067.0 ; 232.0 ; 13481.517578125 ; 16.23 ; 71.31
2204.0 ; 64.0 ; 7124.6328125 ; 24.40 ; 65.28
1459.0 ; 85.0 ; 2677.90625 ; 27.27 ; 53.83
1459.0 ; 86.0 ; 2768.35546875 ; 26.87 ; 55.46
2296.0 ; 249.0 ; 29599.31640625 ; 6.29 ; 71.31
